书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,出版社
https://book.douban.com/subject/35665817/,https://img2.doubanio.com/view/subject/s/public/s34048422.jpg,施瓦格期货分析全书, ,暂无,目前无人,杰克·施瓦格 / 陈瑞华 / 山西人民出版社 / 98.00元,暂无,杰克·施瓦格,山西人民出版社
https://book.douban.com/subject/7007666/,https://img9.doubanio.com/view/subject/s/public/s7000076.jpg,认知盈余,自由时间的力量,7.0,2790人,[美] 克莱·舍基 / 胡泳、哈丽丝 / 中国人民大学出版社 / 2011-12 / 49.80元,暂无,克莱·舍基,中国人民大学出版社
https://book.douban.com/subject/26717621/,https://img2.doubanio.com/view/subject/s/public/s28392713.jpg,投资的本源,稳健均衡投资策略,7.3,281人,宋军 / 中国经济出版社 / 2016-1-1,投资的本源，即探索投资获取收益的根源所在。唯有搞清楚这个问题，才能选对方法，在长期获得盈利。而这个根源就是：企业盈利！稳健均衡投资体系的核心就是：选择优质的... ,宋军,中国经济出版社
https://book.douban.com/subject/2160066/,https://img3.doubanio.com/view/subject/s/public/s24935170.jpg,大投机家的证券心理学, ,7.5,398人,安德烈·科斯托拉尼 / 林琼娟 / 重庆出版集团（重庆出 / 2007-7 / 32.00元,《大投机家的证券心理学》不仅揭露了股票市场中的机密，更能培养读者独立思考与操作股票的能力，是股市操盘手及投资人必读的书籍。在投资领域，有欧洲沃伦•巴菲特之称... ,安德烈·科斯托拉尼,重庆出版集团（重庆出
https://book.douban.com/subject/1009105/,https://img2.doubanio.com/view/subject/s/public/s1778631.jpg,战争论, ,8.8,1138人,[德] 克劳塞维茨 / 中国人民解放军军事科学院 / 解放军出版社 / 2005-1-1 / 79.00元,《战争论》是克劳塞维茨在总结以往战争特别是拿破仑战争的基础上写成的，全书共8篇124章；另有说明、作者自序，及作者在1810年至1812年为普鲁士王太子讲授... ,克劳塞维茨,解放军出版社
https://book.douban.com/subject/20491719/,https://img2.doubanio.com/view/subject/s/public/s33900951.jpg,巴菲特原则, ,暂无,少于10人,玛丽·巴菲特 / 1998-1,暂无,玛丽·巴菲特, 
https://book.douban.com/subject/35458506/,https://img9.doubanio.com/view/subject/s/public/s33894096.jpg,股市赢家：操盘跟庄实战技法, ,暂无,少于10人,纪洪涛、周正 / 清华大学出版社 / 2021-5-1 / 49.80元,《股市赢家：操盘跟庄实战技法》从主力与散户的角度，围绕“看透主力，远离亏损”的主题，详细讲解了散户必须明白的主力思维。通过解析跟庄的“吸、拉、派、落”四个环... ,纪洪涛&周正,清华大学出版社
https://book.douban.com/subject/34786763/,https://img9.doubanio.com/view/subject/s/public/s33466956.jpg,龙头信仰：股票投资深层逻辑的破执与取舍,股票投资深层逻辑的破执与取舍,7.8,87人,彭道富 / 中信出版集团 / 2019-8-15 / 69.00元,暂无,彭道富,中信出版集团
https://book.douban.com/subject/3245516/,https://img1.doubanio.com/view/subject/s/public/s3663649.jpg,从800万到200亿, ,6.9,65人,丹尼尔·A.斯特奇曼 / 李炜 / 高等教育 / 2008-9 / 28.00元,丹尼尔·A.斯特奇曼引人入胜地追寻着朱利安·罗伯森从北卡罗莱纳州到华尔街的足迹，探究了他的个性化的世界和使他成为那个时代投资界的一段传奇的交易策略和投资风格... ,丹尼尔·A.斯特奇曼,高等教育
https://book.douban.com/subject/3812825/,https://img2.doubanio.com/view/subject/s/public/s3858932.jpg,怎样选择成长股, ,6.9,38人,路易斯·纳维里尔 / 刘寅龙 / 2009-5 / 38.00元,《怎样选择成长股(21世纪实操版)》充满了深邃的智慧和行之有效的建议，为我们指明了在当今市场上创造真正财富的必经之路。纳维里尔用最通俗易懂、简洁流畅的语言，... ,路易斯·纳维里尔, 
