书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/4703192/,https://img9.doubanio.com/view/subject/s/public/s6138475.jpg,信息论与编码, ,9.2,28人,姜丹 / 中国科学技术大学出版社 / 2009-12 / 70.00元,《信息论与编码(第3版)》系统论述香农信息论的基本理论，介绍编码的基本方法。全书共分12章。内容包括：信息的定义、信息论的基本思路；单符号离散信源与信道、信... ,姜丹
https://book.douban.com/subject/35044751/,https://img9.doubanio.com/view/subject/s/public/s33750285.jpg,5G移动通信系统设计与标准详解, ,暂无,少于10人,王映民  孙韶辉 / 人民邮电出版社 / 2020-11 / 199元,本书全面系统地介绍了5G移动通信系统设计与标准协议。第一部分（第1-3章）系统概述与标准体系，主要介绍移动通信及5G发展的总体情况、5G系统的网络架构与标准... ,王映民  孙韶辉
https://book.douban.com/subject/1110492/,https://img2.doubanio.com/view/subject/s/public/s5699763.jpg,现代信号处理, ,7.1,26人,张贤达 / 清华大学出版社 / 2002-1 / 38.00元,《现代信号处理》系统、全面地介绍了现代信号处理的主要理论、具有代表性的方法及一些典型应用。全书共7章，内容包括随机信号、参数估计理论、现代谱估计、自适应滤波... ,张贤达
https://book.douban.com/subject/2122726/,https://img3.doubanio.com/view/subject/s/public/s6496200.jpg,无线通信, ,8.7,79人,哥德史密斯 / 杨鸿文 / 人民邮电出版社 / 2007-6 / 69.00元,《无线通信》重点论述当前各类无线通信系统中具有普遍性和代表性的基本知识，包括基本的理论、问题、设计思路和分析方法。全书内容包括无线信道模型、无线信道容量、无... ,哥德史密斯
https://book.douban.com/subject/35019368/,https://img9.doubanio.com/view/subject/s/public/s33632575.jpg,大话物联网（第2版）, ,暂无,少于10人,郎为民、马卫国、张寅、王连峰、闪德胜 / 人民邮电出版社 / 2020-4 / 89.00元,暂无,郎为民&马卫国&张寅&王连峰&闪德胜
https://book.douban.com/subject/1101417/,https://img2.doubanio.com/view/subject/s/public/s11114362.jpg,信号与系统, ,9.0,268人,Alan V.Oppenheim、Alan S.Willsky、S.Hamid Nawab / 电子工业出版社 / 2002-8 / 59.00元,本书是美国麻省理工学院的经典教材之一，涉及到信号与系统分析的基本理论基本分析方法及其应用。全书共分十一章：主要讲述了线性系统的基本理论、信号与系统的基本概念... ,Alan V.Oppenheim&Alan S.Willsky&S.Hamid Nawab
https://book.douban.com/subject/1101949/,https://img2.doubanio.com/view/subject/s/public/s2391371.jpg,数字通信,基础与应用,8.7,54人,[美]Bernard Sklar / 徐平平 / 电子工业出版社 / 2002-9 / 69.00元,《数字通信》(基础与应用第2版》可作为高等院校通信类、信息类、电子类等专业高年级本科生或低年级研究生的教材，也可供有关技术、科研和管理人员使用或作为继续教育... ,Bernard Sklar
https://book.douban.com/subject/30557169/,https://img9.doubanio.com/view/subject/s/public/s33452834.jpg,通信工程专业导论, ,暂无,少于10人,樊昌信 / 电子工业出版社 / 2018-7-1 / 35.90,本书主要为刚进入通信工程专业学习的大学一年级学生介绍通信工程技术的全貌，使之对今后将要学习的专业建立初步的认识。本书从通信的范畴开始，讲述通信的发展过程，通... ,樊昌信
https://book.douban.com/subject/1953267/,https://img2.doubanio.com/view/subject/s/public/s10443282.jpg,自适应滤波器原理, ,暂无,少于10人,赫金 / 电子工业出版社 / 2006-11 / 69.00元,本书是自适应信号处理领域的一本经典教材。全书共17章，系统全面、深入浅出地讲述了自适应信号处理的基本理论与方法，充分反映了近年来该领域的新理论、新技术和新应... ,赫金
https://book.douban.com/subject/1141201/,https://img9.doubanio.com/view/subject/s/public/s1299714.jpg,信息论基础, ,9.3,37人,Thomas M.Cover、Joy A.Thomas / 清华大学出版社 / 2003-11-1 / 65.00元,《国际知名大学原版教材•信息论基础》系统介绍了信息论基本原理及其在通信理论、统计学、计算机科学、概率论以及投资理论等领域的应用。作者以循序渐进的方式，介绍了... ,Thomas M.Cover&Joy A.Thomas
https://book.douban.com/subject/26343542/,https://img9.doubanio.com/view/subject/s/public/s28025645.jpg,国外电子与通信教材系列,现代通信系统,暂无,少于10人,M.F.莫西亚 (Mohammed Farooque Mesiya) / 电子工业出版社 / 2013-12-1 / CNY 99.00,暂无,M.F.莫西亚
https://book.douban.com/subject/1289214/,https://img1.doubanio.com/view/subject/s/public/s5665319.jpg,信号完整性分析, ,9.8,50人,伯格丁 / 电子工业出版社 / 2005-4 / 39.00元,《信号完整性分析》全面论述了信号完整性问题。主要讲述了信号完整性和物理设计概论，带宽、电感和特性阻抗的实质含义，电阻、电容、电感和阻抗的相关分析，解决信号完... ,伯格丁
https://book.douban.com/subject/1865727/,https://img9.doubanio.com/view/subject/s/public/s9032476.jpg,Digital Communication Receivers,"Synchronization,Channel Estimation, And Signal Processing",暂无,少于10人,"Meyr, Heinrich/ Moeneclaey, Marc/ Fechtel, Stefan A. / John Wiley &amp; Sons Inc / 1997-11 / 1536.00 元","Digital Communication Receivers Synchronization, Channel Estimation, and Signa... ","Meyr, Heinrich"
